Completion Code,Employee Code,Credential Code,Provider Code,Completed Date,Expiry Date,Status,Evidence Attached,Cost
COMP-001,EMP-003,CRED-005,PROV-003,2025-06-27,2026-06-27,Lapsed,Yes,45
COMP-002,EMP-006,CRED-002,PROV-002,2023-08-02,2026-08-01,Lapsed,Yes,380
COMP-003,EMP-004,CRED-003,PROV-001,2024-08-08,2026-08-08,Lapsed,No,240
COMP-004,EMP-001,CRED-004,PROV-004,2024-08-21,2026-08-21,Expiring Soon,Yes,0
COMP-005,EMP-005,CRED-005,PROV-003,2025-09-01,2026-09-01,Expiring Soon,Yes,45
COMP-006,EMP-007,CRED-005,PROV-003,2025-09-09,2026-09-09,Expiring Soon,Yes,45
COMP-007,EMP-002,CRED-003,PROV-001,2024-09-26,2026-09-26,Expiring Soon,Yes,240
COMP-008,EMP-003,CRED-001,PROV-001,2023-10-11,2026-10-10,Expiring Soon,Yes,165
COMP-009,EMP-004,CRED-001,PROV-002,2023-10-29,2026-10-28,Current,Yes,165
COMP-010,EMP-006,CRED-005,PROV-003,2025-11-09,2026-11-09,Current,Yes,45
COMP-011,EMP-001,CRED-001,PROV-001,2024-06-19,2027-06-19,Current,Yes,165
COMP-012,EMP-001,CRED-003,PROV-001,2025-02-27,2027-02-27,Current,Yes,240
COMP-013,EMP-001,CRED-005,PROV-003,2026-01-05,2027-01-05,Current,Yes,45
COMP-014,EMP-002,CRED-001,PROV-002,2024-09-19,2027-09-19,Current,Yes,165
COMP-015,EMP-002,CRED-004,PROV-004,2025-03-22,2027-03-22,Current,Yes,0
COMP-016,EMP-002,CRED-005,PROV-003,2026-01-27,2027-01-27,Current,Yes,45
COMP-017,EMP-003,CRED-003,PROV-001,2025-05-29,2027-05-29,Current,Yes,240
COMP-018,EMP-003,CRED-006,PROV-002,2025-12-23,2026-12-23,Current,Yes,520
COMP-019,EMP-004,CRED-005,PROV-003,2025-12-03,2026-12-03,Current,Yes,45
COMP-020,EMP-005,CRED-001,PROV-001,2024-11-11,2027-11-11,Current,Yes,165
COMP-021,EMP-005,CRED-003,PROV-001,2025-07-13,2027-07-13,Current,Yes,240
COMP-022,EMP-006,CRED-001,PROV-002,2024-05-18,2027-05-18,Current,Yes,165
COMP-023,EMP-007,CRED-002,PROV-002,2025-04-16,2028-04-15,Current,Yes,380
COMP-024,EMP-002,CRED-002,PROV-002,2025-01-15,2028-01-15,Current,Yes,380
COMP-025,EMP-001,CRED-002,PROV-002,2024-11-01,2027-11-01,Current,Yes,380
COMP-026,EMP-003,CRED-001,PROV-001,2021-11-12,2024-11-11,Superseded,Yes,150
COMP-027,EMP-001,CRED-001,PROV-001,2022-06-20,2025-06-19,Superseded,Yes,150
COMP-028,EMP-006,CRED-002,PROV-002,2021-06-05,2024-06-04,Superseded,Yes,350
COMP-029,EMP-004,CRED-006,PROV-002,2026-07-29,2027-07-29,Pending,No,520
COMP-030,EMP-007,CRED-001,PROV-003,2024-08-13,2027-08-13,Pending,No,165
